workflow,operation,n,gas_mean,gas_stdev,gas_min,gas_max,latency_mean_ms,latency_stdev_ms,latency_median_ms,latency_p95_ms,latency_p99_ms
consumer-confirmation,confirmReceipt,30,45264.4,4.148950843701125,45254,45266,132.74600683333335,9.939459824225677,134.709588,148.6982488,150.73636714999998
consumer-confirmation,deposit,30,192177.6,5.810810377338026,192156,192180,159.36935143333338,17.40672617462536,161.2894925,184.26444435000002,186.86452401999998
consumer-confirmation,listData,30,139276,4.54858826147342,139266,139278,147.56952883333332,12.877406380995685,148.58931,162.9851953,177.81962140000002
consumer-confirmation,submitRK,30,481853.4666666667,16.29836745226943,481815,481875,269.68904373333334,38.94843318296352,272.783902,321.4692910499999,353.23854271
deployment,deploy,30,2553875,0,2553875,2553875,146.23188230000002,25.63151850548692,146.061118,172.3091384,210.16602988000005
dispute,deposit,30,192178,4.54858826147342,192168,192180,161.03351273333334,17.25943307543437,160.180792,186.4960951,191.95634026000002
dispute,listData,30,139274.8,6.249965517146256,139254,139278,145.54679213333333,9.884739983023383,144.1716185,160.18463559999998,163.76487344
dispute,submitDispute,30,82868.8,9.241585175267506,82852,82876,130.86287763333334,12.973404185063186,128.1754825,150.94347899999997,161.37579958
dispute,submitRK,30,481191.06666666665,3637.1052238277907,461934,481875,272.1538657666667,35.11858395745152,275.07302000000004,319.47757839999997,327.29984747
key-timeout-refund,deposit,30,192174,8.187458870652156,192156,192180,169.32698463333332,22.784704390252685,175.50903449999998,197.40882069999998,207.06319609000002
key-timeout-refund,listData,30,139269.6,10.039920318408905,139254,139278,143.75507696666668,13.470613089179535,145.2691635,162.3525575,162.57169144
key-timeout-refund,withdrawAfterKeyTimeout,30,43308.8,6.249965517146254,43288,43312,132.49091346666663,12.157853235180111,133.66815100000002,150.29848055,152.42615553000002
security-negative,deposit,1,192180,0,192180,192180,127.710454,0,127.710454,127.710454,127.710454
security-negative,listData,1,139278,0,139278,139278,116.69183,0,116.69183,116.69183,116.69183
security-negative,submitRK-valid-control,1,481863,0,481863,481863,300.227035,0,300.227035,300.227035,300.227035
timeout-finalization,deposit,30,192178.8,3.6615429195523777,192168,192180,160.10734986666665,17.624857558160063,163.35029500000002,185.19991319999997,187.68081395000002
timeout-finalization,finalizeAfterTimeout,30,42825.8,3.6615429195523754,42815,42827,132.64504486666664,12.62865530008498,134.5790005,149.86020635,153.92639338
timeout-finalization,listData,30,139274,5.75355961782461,139266,139278,147.37403756666666,12.29625713402065,152.34285599999998,160.58694935,162.18470201
timeout-finalization,submitRK,30,481857.3,13.615786983219651,481834,481875,277.63942926666664,39.529900855111485,295.70462499999996,321.5182908,331.66548376000003
